particle_id,time_s,x_m,y_m,path_m,solver,abstol,reltol,gating
1001,5.49000000000000000e+04,8.87128991245643410e+04,5.80234793849051493e+04,8.93427726748289751e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.58000000000000000e+04,8.88622087735745445e+04,5.79893759964036071e+04,9.08743213157423816e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.67000000000000000e+04,8.90117276590648253e+04,5.79552180643959073e+04,9.24080312439001864e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.76000000000000000e+04,8.91614557980851241e+04,5.79210056051418796e+04,9.39439025921156099e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.85000000000000000e+04,8.93113932076859201e+04,5.78867386349035660e+04,9.54819354931652015e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.94000000000000000e+04,8.94615399049182743e+04,5.78524171699451763e+04,9.70221300797897129e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.03000000000000000e+04,8.96118959068337572e+04,5.78180412265330961e+04,9.85644864846935525e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.12000000000000000e+04,8.97624612304845359e+04,5.77836108209358936e+04,1.00109004840546004e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.21000000000000000e+04,8.99132358929233014e+04,5.77491259694243199e+04,1.01655685279980698e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.30000000000000000e+04,9.00642199112032977e+04,5.77145866882712944e+04,1.03204527935596234e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.39000000000000000e+04,9.02154133023783215e+04,5.76799929937519191e+04,1.04755532939956429e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.48000000000000000e+04,9.03668160835027520e+04,5.76453449021434790e+04,1.06308700425590832e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.57000000000000000e+04,9.05184282716314628e+04,5.76106424297254343e+04,1.07864030524994196e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.66000000000000000e+04,9.06702498838199099e+04,5.75758855927794211e+04,1.09421523370627547e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.75000000000000000e+04,9.08222809371241310e+04,5.75410744075892653e+04,1.10981179094918461e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.84000000000000000e+04,9.09745214486006589e+04,5.75062088904409538e+04,1.12542997830260501e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.93000000000000000e+04,9.11269714353066229e+04,5.74712890576226637e+04,1.14106979709014413e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.02000000000000000e+04,9.12796309142996615e+04,5.74363149254247473e+04,1.15673124863507546e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.11000000000000000e+04,9.14324999026379955e+04,5.74012865101397474e+04,1.17241433426034837e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.20000000000000000e+04,9.15855784173804132e+04,5.73662038280623601e+04,1.18811905528858933e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.29000000000000000e+04,9.17388664755861828e+04,5.73310668954894863e+04,1.20384541304209542e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.38000000000000000e+04,9.18923640943152423e+04,5.72958757287201879e+04,1.21959340884285575e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.47000000000000000e+04,9.20460712906279514e+04,5.72606303440557167e+04,1.23536304401252928e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.56000000000000000e+04,9.21999880815853248e+04,5.72253307577994856e+04,1.25115431987247066e+04,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
